"","id","player_of_match","toss_winner","t","winner","result","result_margin","eliminator","method","umpire_team","Field","FieldValue","TeamNumber","Team"
"2994",980957,"RG Sharma","Mumbai Indians","field","Mumbai Indians","wickets",8,"N",NA,"AY Dandekar/RJ Tucker","date","01/05/2016","team1","Rising Pune Supergiants"
"2995",980959,"AD Russell","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",5,"N",NA,"M Erasmus/S Ravi","date","02/05/2016","team1","Royal Challengers Bangalore"
"2996",980961,"RR Pant","Delhi Daredevils","field","Delhi Daredevils","wickets",8,"N",NA,"CB Gaffaney/BNJ Oxenford","date","03/05/2016","team1","Gujarat Lions"
"2997",980963,"AD Russell","Kings XI Punjab","field","Kolkata Knight Riders","runs",7,"N",NA,"AK Chaudhary/HDPK Dharmasena","date","04/05/2016","team1","Kolkata Knight Riders"
"2998",980965,"AM Rahane","Rising Pune Supergiants","field","Rising Pune Supergiants","wickets",7,"N",NA,"C Shamshuddin/RJ Tucker","date","05/05/2016","team1","Delhi Daredevils"
"2999",980967,"B Kumar","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",5,"N",NA,"M Erasmus/S Ravi","date","06/05/2016","team1","Sunrisers Hyderabad"
"3000",980969,"V Kohli","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",7,"N",NA,"CB Gaffaney/BNJ Oxenford","date","07/05/2016","team1","Royal Challengers Bangalore"
"3001",980971,"MP Stoinis","Delhi Daredevils","field","Kings XI Punjab","runs",9,"N",NA,"HDPK Dharmasena/CK Nandan","date","07/05/2016","team1","Kings XI Punjab"
"3002",980973,"A Nehra","Mumbai Indians","field","Sunrisers Hyderabad","runs",85,"N",NA,"S Ravi/C Shamshuddin","date","08/05/2016","team1","Mumbai Indians"
"3003",980975,"P Kumar","Gujarat Lions","field","Gujarat Lions","wickets",5,"N",NA,"M Erasmus/RJ Tucker","date","08/05/2016","team1","Kolkata Knight Riders"
"3004",980977,"SR Watson","Kings XI Punjab","field","Royal Challengers Bangalore","runs",1,"N",NA,"AK Chaudhary/HDPK Dharmasena","date","09/05/2016","team1","Kings XI Punjab"
